x,y,acceleration,velocity
-141.705094,41.127959,155.01470630217264,558.0529426878215
-146.504744,42.535306,159.51323567195539,574.2476484190394
-151.304453,43.942805,163.56191210475984,588.8228835771355
-156.104222,45.350453,167.20572089428387,601.940595219422
-160.904054,46.758251,170.4851488048555,613.7465356974798
-165.703952,48.166196,173.43663392436994,624.3718821277319
-170.503918,49.574287,176.09297053193296,633.9346939149586
-175.303954,50.982522,178.48367347873966,642.5412245234628
-180.104063,52.390901,180.6353061308657,650.2871020711166
-184.904248,53.799421,182.57177551777914,657.2583918640049
-189.704511,55.208082,184.31459796600123,663.5325526776045
-194.504855,56.616883,185.88313816940112,669.179297409844
-199.305282,58.02582,187.294824352461,674.2613676688596
-204.105793,59.434894,188.5653419172149,678.8352309019737
-208.906331,60.844096,189.70880772549341,682.9517078117763
-213.706779,62.253409,190.73792695294406,686.6565370305987
-218.507018,63.662816,191.66413425764966,689.9908833275388
-223.306925,65.072302,192.4977208318847,692.9917949947849
-228.106382,66.48185,193.24794874869622,695.6926154953064
-232.905268,67.891442,193.9231538738266,698.1233539457758
-237.703463,69.301063,194.53083848644394,700.3110185511982
-242.500845,70.710696,195.07775463779956,702.2799166960784
-247.297295,72.120325,195.5699791740196,704.0519250264706
-252.092693,73.529932,196.01298125661765,705.6467325238235
-256.886918,74.939502,196.41168313095588,707.0820592714412
-261.679849,76.349017,196.7705148178603,708.373853344297
-266.471367,77.758462,197.09346333607425,709.5364680098673
-271.261351,79.167819,197.38411700246684,710.5828212088807
-276.04968,80.577073,197.64570530222016,711.5245390879926
-280.836235,81.986206,197.88113477199815,712.3720851791934
-285.620895,83.395202,198.09302129479835,713.1348766612741
-290.403539,84.804044,198.28371916531853,713.8213889951468
-295.184048,86.212717,198.4553472487867,714.4392500956321
-299.9623,87.621202,198.60981252390803,714.995325086069
-304.738177,89.029485,198.74883127151725,715.4957925774621
-309.511556,90.437548,198.87394814436553,715.9462133197159
-314.282355,91.845371,198.98655332992897,716.3515919877443
-319.054144,93.252621,199.08789799693608,716.7164327889699
-323.837201,94.658387,199.17910819724247,717.0447895100729
-328.642523,96.061698,199.26119737751822,717.3403105590656
-333.481108,97.461581,199.3350776397664,717.606279503159
-338.363953,98.857065,199.40156987578976,717.8456515528432
-343.301877,100.246686,199.4614128882108,718.0610863975588
-348.288024,101.580277,199.5152715993897,718.254977757803
-353.28311,102.718313,199.56374443945074,718.4294799820227
-358.244379,103.511696,185.60736999550568,668.1865319838205
-363.129073,103.811331,180.04663299595512,648.1678787854385
-367.894435,103.468121,175.04196969635962,630.1510909068946
-372.500847,102.3484,170.53777272672366,613.9359818162052
-376.944247,100.493228,173.4839954540513,624.5423836345847
-381.243069,98.054221,176.13559590864617,634.0881452711262
-385.416099,95.184737,178.52203631778156,642.6793307440137
-389.482128,92.038138,180.66983268600342,650.4113976696124
-393.459944,88.767784,182.6028494174031,657.3702579026511
-397.370262,85.520972,184.34256447566278,663.633232112386
-401.255078,82.378059,185.9083080280965,669.2699089011475
-405.169595,79.37784,187.31747722528686,674.3429180110327
-409.169218,76.558488,188.58572950275817,678.9086262099295
-413.309349,73.958176,189.72715655248237,683.0177635889365
-417.645383,71.615075,190.75444089723413,686.7159872300429
-422.209892,69.569209,191.6789968075107,690.0443885070385
-426.963972,67.866397,192.51109712675964,693.0399496563347
-431.854754,66.553585,193.25998741408367,695.7359546907012
-436.829375,65.677725,179.9339886726753,647.7623592216311
-441.834967,65.285764,174.94058980540777,629.7861232994679
-446.818667,65.424643,170.44653082486698,613.6075109695212
-451.730647,66.123783,166.4018777423803,599.046759872569
-456.53053,67.358104,162.76168996814226,585.9420838853122
-461.179769,69.091962,166.48552097132804,599.347875496781
-465.639819,71.289714,169.83696887419524,611.4130879471029
-469.872134,73.915713,172.85327198677572,622.2717791523926
-473.838598,76.934304,175.56794478809815,632.0446012371533
-477.511606,80.309531,178.01115030928833,640.840141113438
-480.874401,84.005127,180.2100352783595,648.7561270020942
-483.910725,87.984814,182.18903175052355,655.8805143018848
-486.604319,92.21231,183.9701285754712,662.2924628716963
-488.938925,96.651337,185.57311571792408,668.0632165845267
-490.898284,101.265613,187.01580414613167,673.256894926074
-492.46614,106.018861,188.3142237315185,677.9312054334666
-493.626232,110.874799,189.48280135836666,682.13808489012
-494.362303,115.797148,190.53452122253,685.924276401108
-494.658095,120.749629,191.481069100277,689.3318487609972
-494.49735,125.69596,192.3329621902493,692.3986638848975
-493.867895,130.600618,193.09966597122437,695.1587974964077
-492.780138,135.432246,193.78969937410193,697.642917746767
-491.252244,140.160923,194.41072943669175,699.8786259720903
-489.302383,144.756727,194.96965649302257,701.8907633748813
-486.948727,149.189736,195.47269084372033,703.7016870373932
-484.209446,153.43003,195.9254217593483,705.3315183336539
-481.104189,157.443751,196.33287958341347,706.7983665002885
-477.660646,161.175639,196.69959162507212,708.1185298502596
-473.909227,164.563189,190.0296324625649,684.1066768652337
-469.880345,167.543889,184.02666921630842,662.4960091787103
-465.604412,170.055229,178.62400229467758,643.0464082608393
-461.11188,172.035333,173.76160206520981,625.5417674347553
-456.436104,173.469926,176.38544185868884,634.9875906912798
-451.615316,174.424573,178.74689767281996,643.4888316221519
-446.688209,174.972467,180.87220790553798,651.1399484599367
-441.69348,175.186802,182.78498711498418,658.0259536139431
-436.669823,175.14077,184.50648840348578,664.2233582525488
-431.653454,174.905025,186.0558395631372,669.8010224272939
-426.655482,174.524497,187.45025560682348,674.8209201845646
-421.672427,174.029168,188.70523004614114,679.3388281661081
-416.700629,173.448838,189.83470704152703,683.4049453494973
-411.73643,172.813305,190.85123633737433,687.0644508145476
-406.776169,172.152363,191.7661127036369,690.3580057330929
-401.817,171.489106,192.58950143327323,693.3222051597836
-396.858446,170.827068,193.3305512899459,695.9899846438053
-391.900461,170.166229,193.99749616095133,698.3909861794248
-386.942999,169.506569,194.5977465448562,700.5518875614823
-381.986014,168.848069,195.13797189037058,702.4966988053341
-377.02946,168.190709,195.62417470133352,704.2470289248007
-372.07329,167.534469,196.06175723120018,705.8223260323207
-367.117459,166.87933,196.45558150808017,707.2400934290887
-362.161921,166.225273,196.81002335727217,708.5160840861798
-357.206629,165.572278,197.12902102154496,709.6644756775619
-352.251537,164.920325,197.41611891939047,710.6980281098057
-347.2966,164.269394,197.67450702745143,711.6282252988251
-342.341771,163.619467,197.90705632470628,712.4654027689426
-337.387004,162.970523,198.11635069223564,713.2188624920483
-332.432254,162.322543,198.30471562301207,713.8969762428435
-327.477473,161.675508,198.47424406071087,714.5072786185592
-322.522617,161.029397,198.6268196546398,715.0565507567034
-317.567638,160.384191,198.76413768917584,715.550895681033
-312.612492,159.739871,198.88772392025825,715.9958061129297
-307.657131,159.096417,198.99895152823242,716.3962255016368
-302.70151,158.453809,199.0990563754092,716.7566029514732
-297.745583,157.812028,199.1891507378683,717.0809426563259
-292.789303,157.171054,199.27023566408147,717.3728483906933
-287.832625,156.530868,199.34321209767333,717.635563551624
-282.875502,155.89145,199.408890887906,717.8720071964617
-277.917888,155.252781,199.46800179911543,718.0848064768155
-272.959738,154.614841,199.52120161920388,718.276325829134
-268.001006,153.977609,199.5690814572835,718.4486932462206
-263.041644,153.341068,199.61217331155515,718.6038239215985
-258.081608,152.705197,199.65095598039963,718.7434415294387
-253.12085,152.069976,199.68586038235966,718.8690973764948
-248.159326,151.435387,199.7172743441237,718.9821876388453
-243.196988,150.801408,199.74554690971132,719.0839688749608
-238.233791,150.168022,199.7709922187402,719.1755719874647
