x,y,acceleration,velocity
721.559141,-105.499468,199.99999999997544,719.9999999999117
721.435013,-100.50327,199.99999999997792,719.9999999999205
721.310511,-95.507068,199.99999999998013,719.9999999999285
721.185893,-90.510867,199.99999999998212,719.9999999999357
721.061418,-85.514668,199.9999999999839,719.9999999999421
720.937309,-80.518475,199.99999999998553,719.9999999999479
720.813611,-75.522289,199.99999999998698,719.9999999999532
720.690318,-70.526109,199.9999999999883,719.9999999999578
720.567422,-65.529936,199.99999999998946,719.999999999962
720.444915,-60.533769,199.9999999999905,719.9999999999659
720.322792,-55.537607,199.99999999999147,719.9999999999693
720.201043,-50.541452,199.99999999999233,719.9999999999724
720.079662,-45.545303,199.9999999999931,719.9999999999751
719.958642,-40.549159,199.99999999999378,719.9999999999776
719.837974,-35.55302,199.9999999999944,719.9999999999799
719.717653,-30.556887,199.99999999999497,719.9999999999819
719.597669,-25.560759,199.99999999999548,719.9999999999837
719.478016,-20.564637,199.99999999999594,719.9999999999853
719.358687,-15.568519,199.99999999999633,719.9999999999868
719.239674,-10.572406,199.9999999999967,719.9999999999882
719.120969,-5.576299,199.99999999999704,719.9999999999894
719.002566,-0.580195,199.99999999999736,719.9999999999905
718.884458,4.415904,199.9999999999976,719.9999999999915
718.766635,9.411998,199.99999999999787,719.9999999999924
718.649092,14.408088,199.9999999999981,719.9999999999932
718.531821,19.404174,199.9999999999983,719.9999999999939
718.414814,24.400256,199.99999999999847,719.9999999999945
718.298065,29.396335,199.99999999999864,719.9999999999951
718.181565,34.392409,199.99999999999878,719.9999999999956
718.065308,39.38848,199.9999999999989,719.999999999996
717.949286,44.384547,199.999999999999,719.9999999999965
717.833492,49.380611,199.99999999999912,719.9999999999968
717.717917,54.376672,199.9999999999992,719.9999999999972
717.602556,59.37273,199.9999999999993,719.9999999999975
717.487401,64.368784,199.99999999999937,719.9999999999977
717.372443,69.364836,199.99999999999943,719.999999999998
717.257676,74.360885,199.9999999999995,719.9999999999982
717.143093,79.356932,199.99999999999955,719.9999999999984
717.028686,84.352976,199.9999999999996,719.9999999999986
716.914448,89.349018,199.99999999999966,719.9999999999987
716.800371,94.345057,199.9999999999997,719.9999999999989
716.686447,99.341094,199.99999999999972,719.999999999999
716.572671,104.33713,199.99999999999974,719.9999999999991
716.459034,109.333163,199.99999999999977,719.9999999999992
716.345528,114.329195,199.9999999999998,719.9999999999993
716.232147,119.325226,199.99999999999983,719.9999999999994
716.118883,124.321254,199.99999999999986,719.9999999999995
716.005729,129.317282,199.9999999999999,719.9999999999997
715.892678,134.313308,199.99999999999991,719.9999999999997
715.779721,139.309333,199.99999999999991,719.9999999999997
715.666852,144.305358,199.99999999999991,719.9999999999997
715.554063,149.301381,199.99999999999991,719.9999999999997
715.441347,154.297404,199.99999999999991,719.9999999999997
715.328696,159.293426,199.99999999999991,719.9999999999997
715.216104,164.289448,199.99999999999991,719.9999999999997
715.103562,169.285469,199.99999999999991,719.9999999999997
714.991064,174.281491,199.99999999999991,719.9999999999997
714.878602,179.277512,199.99999999999991,719.9999999999997
714.766169,184.273533,199.99999999999991,719.9999999999997
714.653756,189.269555,199.99999999999991,719.9999999999997
714.541358,194.265576,199.99999999999991,719.9999999999997
714.428966,199.261599,199.99999999999991,719.9999999999997
714.316574,204.257622,199.99999999999991,719.9999999999997
714.204173,209.253645,199.99999999999991,719.9999999999997
714.091757,214.249669,199.99999999999991,719.9999999999997
713.979317,219.245695,199.99999999999991,719.9999999999997
713.866848,224.241721,199.99999999999991,719.9999999999997
713.75434,229.237749,199.99999999999991,719.9999999999997
713.641788,234.233778,199.99999999999991,719.9999999999997
713.529183,239.229808,199.99999999999991,719.9999999999997
713.416519,244.22584,199.99999999999991,719.9999999999997
713.303787,249.221874,199.99999999999991,719.9999999999997
713.190981,254.21791,199.99999999999991,719.9999999999997
